lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000258,Barnet 016B,1547,0.135,7,191.828,194.41767800000002,199.597034,204.77639
E01000259,Barnet 025D,2063,0.225,5,255.812,261.56777,273.07930999999996,284.59085000000005
E01000260,Barnet 025E,1692,0.271,4,209.808,215.49379679999998,226.86539039999997,238.23698399999998
E01000261,Barnet 017C,1390,0.101,8,172.36,174.10083600000002,177.58250800000002,181.06418000000002
E01000263,Barnet 016C,1164,0.028,10,144.33599999999998,144.74014079999998,145.5484224,146.35670399999998
E01000264,Barnet 016D,1436,0.279,4,178.06400000000002,183.03198560000004,192.96795680000005,202.903928
E01000265,Barnet 011A,1488,0.327,3,184.512,190.5455424,202.61262720000002,214.679712
E01000266,Barnet 011B,1166,0.066,10,144.584,145.5382544,147.44676320000002,149.35527199999999
E01000267,Barnet 005A,1239,0.146,7,153.636,155.8790856,160.3652568,164.851428
E01000268,Barnet 005B,1625,0.367,2,201.5,208.89505,223.68515000000002,238.47525
E01000269,Barnet 005C,1129,0.129,7,139.996,141.8019484,145.4138452,149.025742
E01000270,Barnet 005D,1240,0.181,6,153.76,156.54305599999998,162.10916799999998,167.67528
E01000271,Barnet 008A,1338,0.117,8,165.912,167.8531704,171.7355112,175.617852
E01000272,Barnet 008B,1177,0.099,8,145.948,147.39288520000002,150.28265560000003,153.17242600000003
E01000273,Barnet 008C,1399,0.269,4,173.476,178.14250439999998,187.4755132,196.808522
E01000274,Barnet 011C,1501,0.265,4,186.12400000000002,191.05628600000003,200.920858,210.78543000000005
E01000275,Barnet 012A,1426,0.173,6,176.824,179.88305520000003,186.00116560000004,192.119276
E01000276,Barnet 020A,1137,0.04,10,140.988,141.551952,142.679856,143.80776
E01000277,Barnet 012B,1392,0.268,4,172.608,177.2338944,186.4856832,195.737472
E01000278,Barnet 020B,1103,0.054,10,136.77200000000002,137.51056880000002,138.9877064,140.464844
E01000279,Barnet 007C,1134,0.038,10,140.616,141.1503408,142.21902240000003,143.287704
E01000280,Barnet 007D,1101,0.038,10,136.524,137.0427912,138.0803736,139.117956
E01000281,Barnet 008D,1393,0.235,4,172.732,176.791202,184.909606,193.02801
E01000282,Barnet 008E,1430,0.12,7,177.32000000000002,179.44784,183.70352000000003,187.95920000000004
E01000283,Barnet 012C,1074,0.055,10,133.17600000000002,133.90846800000003,135.37340400000002,136.83834000000002
E01000284,Barnet 012D,1486,0.273,4,184.264,189.29440720000002,199.35522160000002,209.41603600000002
E01000285,Barnet 004A,1199,0.198,5,148.67600000000002,151.61978480000002,157.5073544,163.394924
E01000286,Barnet 007E,1355,0.304,3,168.02,173.12780800000002,183.343424,193.55904
E01000287,Barnet 004B,1279,0.28,4,158.596,163.036688,171.91806400000002,180.79944000000003
E01000288,Barnet 004C,1237,0.178,6,153.388,156.11830640000002,161.5789192,167.039532
E01000289,Barnet 004D,1218,0.511,1,151.032,158.7497352,174.18520560000002,189.62067600000003
